,incident_type,Incident_Year,Reported_Month,Region_of_Origin,Region_of_Incident,Number_of_Dead,Minimum_Estimated_Number_of_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Migration_Route,UNSD_Geographical_Grouping
7077,Incident,2019,December,Sub-Saharan Africa,Africa,1,0,0,0,1,1,0,Sahara Desert crossing,Africa
7079,Incident,2019,December,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7080,Incident,2019,December,Other / Unknown,Mediterranean,4,0,0,3,1,1,1,Mediterranean Region,Uncategorized
7082,Incident,2019,December,Sub-Saharan Africa,Africa,1,0,0,0,1,0,0,Sahara Desert crossing,Africa
7083,Incident,2019,December,Sub-Saharan Africa,Africa,1,0,0,0,1,0,1,Sahara Desert crossing,Africa
7084,Incident,2019,December,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7085,Incident,2019,December,Sub-Saharan Africa,Mediterranean,1,0,7,1,0,0,0,Mediterranean Region,Uncategorized
7087,Incident,2019,December,Sub-Saharan Africa,Africa,1,0,0,1,0,0,1,Sahara Desert crossing,Africa
7088,Cumulative Incident,2019,December,Latin America / Caribbean,North America,84,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7092,Incident,2019,December,Eastern Africa,Africa,1,0,0,1,0,0,1,Horn of Africa to Yemen crossing,Africa
7093,Incident,2019,December,Sub-Saharan Africa,Africa,1,0,0,0,1,0,0,Sahara Desert crossing,Africa
7094,Incident,2019,December,Sub-Saharan Africa,Africa,2,0,0,1,1,1,0,Sahara Desert crossing,Africa
7095,Incident,2019,December,Sub-Saharan Africa,Africa,1,0,0,1,0,0,0,Sahara Desert crossing,Africa
7099,Incident,2019,December,Western / Southern Asia,Europe,2,4,9,3,3,2,1,Western Balkans,Europe
7100,Incident,2019,December,Sub-Saharan Africa,Africa,1,0,0,0,1,0,0,Sahara Desert crossing,Africa
7104,Incident,2019,December,Sub-Saharan Africa,Africa,1,0,0,0,1,0,1,Sahara Desert crossing,Africa
7106,Incident,2019,December,Other / Unknown,Mediterranean,1,0,0,0,1,0,0,Mediterranean Region,Uncategorized
7110,Incident,2019,April,Sub-Saharan Africa,Africa,2,0,0,2,0,2,0,Sahara Desert crossing,Africa
7111,Incident,2019,December,Other / Unknown,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
7112,Incident,2019,December,Sub-Saharan Africa,Africa,1,0,0,1,0,1,1,Sahara Desert crossing,Africa
7114,Incident,2019,December,Sub-Saharan Africa,Africa,1,0,0,1,0,0,0,Sahara Desert crossing,Africa
7115,Incident,2019,December,Southern Asia,Asia,7,0,64,0,0,0,1,Turkiye Boarder,Asia
7118,Incident,2019,December,Sub-Saharan Africa,Africa,1,0,0,1,0,1,0,Sahara Desert crossing,Africa
7121,Incident,2019,December,Other / Unknown,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
7122,Incident,2019,December,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7123,Incident,2019,December,Northern Africa,Mediterranean,1,0,11,0,0,0,1,Mediterranean Region,Uncategorized
7124,Incident,2019,December,Other / Unknown,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
7127,Incident,2019,December,Sub-Saharan Africa,Africa,1,0,0,1,0,0,0,Sahara Desert crossing,Africa
7128,Incident,2019,December,Other / Unknown,Europe,1,0,0,0,0,0,1,Western Balkans,Europe
7129,Incident,2019,December,Other / Unknown,Europe,3,0,0,0,0,0,0,Western Balkans,Europe
7130,Incident,2019,December,Other / Unknown,Europe,2,0,0,0,0,0,1,Western Balkans,Europe
7131,Cumulative Incident,2019,December,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7132,Incident,2019,December,Latin America / Caribbean,North America,2,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7133,Incident,2019,December,Latin America / Caribbean,North America,10,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7134,Incident,2019,January,Southern Asia,Asia,1,0,0,0,1,0,0,Afghanistan to Iran,Asia
7135,Incident,2019,January,Southern Asia,Asia,1,0,0,0,1,0,1,Afghanistan to Iran,Asia
7136,Incident,2019,March,Southern Asia,Asia,1,0,0,0,1,1,1,Afghanistan to Iran,Asia
7137,Incident,2019,March,Southern Asia,Asia,1,0,0,0,1,0,1,Afghanistan to Iran,Asia
7138,Incident,2019,March,Southern Asia,Asia,1,0,0,0,0,0,1,Afghanistan to Iran,Asia
7139,Incident,2019,March,Southern Asia,Asia,1,0,0,0,1,0,1,Afghanistan to Iran,Asia
7140,Incident,2019,March,Southern Asia,Asia,2,0,0,0,1,0,1,Afghanistan to Iran,Asia
7141,Incident,2019,March,Southern Asia,Asia,1,0,0,0,1,0,1,Afghanistan to Iran,Asia
7142,Incident,2019,March,Southern Asia,Asia,1,0,0,0,1,0,1,Afghanistan to Iran,Asia
7143,Incident,2019,April,Southern Asia,Asia,1,0,0,0,2,0,0,Afghanistan to Iran,Asia
7144,Incident,2019,April,Southern Asia,Asia,1,0,0,0,1,0,1,Afghanistan to Iran,Asia
7145,Incident,2019,April,Southern Asia,Asia,1,0,0,0,1,0,1,Afghanistan to Iran,Asia
7146,Incident,2019,April,Southern Asia,Asia,1,0,0,0,1,0,1,Afghanistan to Iran,Asia
7147,Incident,2019,June,Southern Asia,Asia,1,0,0,0,0,0,1,Afghanistan to Iran,Asia
7148,Incident,2019,July,Southern Asia,Asia,1,0,0,0,1,0,0,Afghanistan to Iran,Asia
7149,Incident,2019,September,Southern Asia,Asia,1,0,0,0,1,1,0,Afghanistan to Iran,Asia
7150,Incident,2019,September,Southern Asia,Asia,1,0,0,0,1,0,1,Afghanistan to Iran,Asia
7151,Incident,2019,September,Southern Asia,Asia,1,0,0,0,1,1,0,Afghanistan to Iran,Asia
7152,Incident,2019,October,Southern Asia,Asia,2,0,0,0,1,0,1,Afghanistan to Iran,Asia
7153,Incident,2019,October,Southern Asia,Asia,1,0,0,0,1,0,1,Afghanistan to Iran,Asia
7154,Incident,2019,October,Southern Asia,Asia,1,0,0,0,1,0,1,Afghanistan to Iran,Asia
7155,Incident,2019,October,Southern Asia,Asia,1,0,0,0,2,0,1,Afghanistan to Iran,Asia
7156,Incident,2019,October,Southern Asia,Asia,1,0,0,0,1,0,1,Afghanistan to Iran,Asia
7157,Incident,2019,October,Southern Asia,Asia,1,0,0,0,1,0,1,Afghanistan to Iran,Asia
7158,Incident,2019,October,Southern Asia,Asia,1,0,0,0,1,0,1,Afghanistan to Iran,Asia
7159,Incident,2019,October,Southern Asia,Asia,1,0,0,1,0,0,1,Afghanistan to Iran,Asia
7160,Incident,2019,November,Southern Asia,Asia,1,0,0,0,1,1,1,Afghanistan to Iran,Asia
7161,Incident,2019,November,Southern Asia,Asia,1,0,0,0,1,0,0,Afghanistan to Iran,Asia
7162,Incident,2019,August,Western / Southern Asia,Europe,1,0,0,0,1,0,1,EU Boarder,Europe
7163,Incident,2019,November,Western Africa,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
7164,Incident,2019,November,Other / Unknown,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
7167,Incident,2019,October,Sub-Saharan Africa,Africa,15,0,0,0,15,0,0,Sahara Desert crossing,Africa
7168,Incident,2019,October,Sub-Saharan Africa,Africa,4,0,0,0,0,0,0,Sahara Desert crossing,Africa
7169,Incident,2019,June,Sub-Saharan Africa,Africa,4,0,0,0,0,0,1,Sahara Desert crossing,Africa
7170,Incident,2019,November,Southern Asia,Europe,1,0,0,0,0,1,0,Western Balkans,Europe
7172,Incident,2019,September,Southern Asia,Europe,1,0,0,0,1,0,1,Western Balkans,Europe
7173,Incident,2019,July,Southern Asia,Europe,1,0,0,0,1,0,1,Western Balkans,Europe
7174,Incident,2019,July,Southern Asia,Europe,1,0,0,0,1,0,1,Western Balkans,Europe
7175,Incident,2019,December,Southern Asia,Europe,1,0,0,0,1,0,0,Western Balkans,Europe
7176,Incident,2020,January,Northern Africa,Europe,1,0,2,0,1,0,1,Western Balkans,Europe
7177,Incident,2020,January,Western Africa,Africa,3,1,14,0,0,0,0,Sahara Desert crossing,Africa
7178,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
7180,Incident,2020,January,Other / Unknown,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7181,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7182,Incident,2020,January,Other / Unknown,Mediterranean,11,4,0,3,6,0,1,Mediterranean Region,Uncategorized
7184,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,0,0,1,0,0,Sahara Desert crossing,Africa
7185,Incident,2020,January,Northern Africa,Mediterranean,1,1,34,0,0,0,1,Mediterranean Region,Uncategorized
7186,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7187,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7188,Incident,2020,January,Southern Asia,Mediterranean,4,1,51,0,5,1,1,Mediterranean Region,Uncategorized
7189,Incident,2020,January,Sub-Saharan Africa,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
7190,Incident,2020,January,Other / Unknown,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
7191,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,0,0,0,0,0,Western Africa / Atlantic route to the Canary Islands,Uncategorized
7192,Incident,2020,January,Central America,Central America,1,0,1,0,1,0,1,US-Mexico border crossing,Central America
7195,Incident,2020,January,Sub-Saharan Africa,Africa,2,0,0,0,2,1,0,Sahara Desert crossing,Africa
7196,Incident,2020,January,Sub-Saharan Africa,Africa,2,0,0,1,1,1,0,Sahara Desert crossing,Africa
7200,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
7201,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,41,0,0,1,0,Western Africa / Atlantic route to the Canary Islands,Uncategorized
7202,Incident,2020,January,Eastern Africa,Africa,3,0,0,1,2,1,0,Sahara Desert crossing,Africa
7204,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7205,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7206,Incident,2020,January,Sub-Saharan Africa,Africa,3,0,0,3,0,0,0,Sahara Desert crossing,Africa
7207,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,0,0,1,0,0,Sahara Desert crossing,Africa
7209,Incident,2020,January,Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7210,Incident,2020,January,Central America,Central America,1,0,0,0,1,0,0,US-Mexico border crossing,Central America
7212,Incident,2020,January,Sub-Saharan Africa,Africa,2,0,0,2,0,1,0,Sahara Desert crossing,Africa
7213,Split Incident,2020,January,Other / Unknown,Mediterranean,12,20,21,2,10,0,1,Mediterranean Region,Uncategorized
7214,Incident,2020,January,Western / Southern Asia,Mediterranean,11,0,8,3,0,8,1,Mediterranean Region,Uncategorized
7215,Incident,2020,January,Western Africa,Mediterranean,1,0,0,0,1,0,0,Mediterranean Region,Uncategorized
7217,Incident,2020,January,Eastern Africa,Africa,1,0,0,0,1,0,1,Sahara Desert crossing,Africa
7218,Incident,2020,January,Sub-Saharan Africa,Africa,2,0,0,0,2,0,0,Sahara Desert crossing,Africa
7219,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,0,1,0,1,0,Sahara Desert crossing,Africa
7221,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7222,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7224,Incident,2020,January,Sub-Saharan Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
7225,Incident,2020,January,Other / Unknown,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
7227,Incident,2020,January,Caribbean,Central America,1,0,0,0,1,0,0,US-Mexico border crossing,Central America
7228,Incident,2020,January,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7230,Incident,2020,January,Sub-Saharan Africa,Africa,2,0,0,1,1,0,0,Sahara Desert crossing,Africa
7232,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7233,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,0,0,1,0,0,Sahara Desert crossing,Africa
7234,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,0,1,0,0,0,Sahara Desert crossing,Africa
7235,Incident,2020,January,Sub-Saharan Africa,Africa,2,0,0,1,1,0,0,Sahara Desert crossing,Africa
7238,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,0,0,1,0,0,Sahara Desert crossing,Africa
7239,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,0,0,1,0,0,Sahara Desert crossing,Africa
7240,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7241,Incident,2020,January,Sub-Saharan Africa,Africa,3,0,0,1,1,0,0,Sahara Desert crossing,Africa
7242,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,0,0,1,0,1,Sahara Desert crossing,Africa
7244,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,0,0,1,0,1,Sahara Desert crossing,Africa
7247,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,0,1,0,0,0,Sahara Desert crossing,Africa
7249,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,0,1,0,0,1,Sahara Desert crossing,Africa
7250,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7251,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
7252,Incident,2020,January,Central America,Central America,1,0,0,1,0,0,1,US-Mexico border crossing,Central America
7253,Incident,2020,January,Sub-Saharan Africa,Africa,2,0,0,0,2,0,0,Sahara Desert crossing,Africa
7254,Incident,2020,January,Northern Africa,Africa,1,0,0,0,1,0,0,Sahara Desert crossing,Africa
7255,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7257,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7258,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,0,0,1,0,0,Sahara Desert crossing,Africa
7259,Incident,2020,January,Sub-Saharan Africa,Africa,2,0,0,2,0,0,0,Sahara Desert crossing,Africa
7260,Incident,2020,January,Sub-Saharan Africa,Africa,2,0,0,2,0,0,0,Sahara Desert crossing,Africa
7262,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7266,Incident,2020,January,Sub-Saharan Africa,Africa,2,0,0,0,1,1,0,Sahara Desert crossing,Africa
7267,Incident,2020,January,Sub-Saharan Africa,Africa,2,0,0,0,1,1,0,Sahara Desert crossing,Africa
7268,Incident,2020,January,Sub-Saharan Africa,Africa,1,0,0,1,0,0,0,Sahara Desert crossing,Africa
7269,Incident,2020,January,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7271,Incident,2020,January,Western / Southern Asia,Mediterranean,1,4,1,0,0,0,1,Mediterranean Region,Uncategorized
7272,Incident,2020,January,South America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7273,Incident,2020,January,Western Africa,Africa,1,0,2,1,0,0,0,Sahara Desert crossing,Africa
7276,Incident,2020,January,Central America,Central America,1,0,1,0,1,0,1,US-Mexico border crossing,Central America
7277,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,0,0,1,US-Mexico border crossing,Northern America
7278,Incident,2020,January,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7279,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7280,Incident,2020,January,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7281,Incident,2020,January,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7282,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7283,Incident,2020,January,South America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7285,Incident,2020,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7286,Incident,2020,January,Southern Asia,Asia,1,0,0,0,1,0,1,EU Boarder,Asia
7287,Incident,2020,January,Other / Unknown,Asia,2,0,0,0,2,0,1,EU Boarder,Asia
7289,Incident,2020,February,Northern Africa,Mediterranean,2,4,0,0,0,0,1,Mediterranean Region,Uncategorized
7291,Incident,2020,February,Sub-Saharan Africa,Africa,2,0,18,2,0,0,1,Western Africa / Atlantic route to the Canary Islands,Africa
7292,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7293,Incident,2020,February,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7294,Incident,2020,February,Central America,North America,2,0,5,0,2,0,1,US-Mexico border crossing,Northern America
7295,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7296,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7297,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7301,Incident,2020,February,Other / Unknown,Africa,5,0,11,0,0,0,0,Sahara Desert crossing,Africa
7302,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7303,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7304,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7306,Incident,2020,February,Western / Southern Asia,Asia,7,5,0,0,0,0,1,Turkiye Boarder,Asia
7307,Incident,2020,February,Sub-Saharan Africa,Africa,2,7,18,2,7,0,0,Western Africa / Atlantic route to the Canary Islands,Uncategorized
7309,Incident,2020,February,Northern Africa,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
7310,Incident,2020,February,Other / Unknown,Mediterranean,1,90,0,0,1,0,1,Mediterranean Region,Uncategorized
7312,Incident,2020,February,Central America,North America,3,0,2,3,0,0,1,US-Mexico border crossing,Northern America
7313,Incident,2020,February,South America,North America,1,0,3,0,1,0,0,US-Mexico border crossing,Northern America
7316,Incident,2020,February,Northern Africa,Asia,1,0,0,0,1,0,1,EU Boarder,Asia
7317,Incident,2020,February,Northern Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
7318,Incident,2020,February,Northern Africa,Mediterranean,4,14,0,0,4,0,1,Mediterranean Region,Uncategorized
7319,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7320,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7321,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7322,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7323,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7324,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7325,Incident,2020,February,Western / Southern Asia,Europe,1,0,0,0,1,0,1,Western Balkans,Europe
7328,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7329,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7330,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7331,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7333,Incident,2020,February,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
7335,Incident,2020,February,Northern Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
7336,Incident,2020,February,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7337,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7338,Incident,2020,February,South America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7342,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7343,Incident,2020,February,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7345,Incident,2020,February,Sub-Saharan Africa,Africa,1,0,34,0,1,0,0,Western Africa / Atlantic route to the Canary Islands,Uncategorized
7348,Incident,2020,February,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7350,Incident,2020,March,Eastern Africa,Africa,1,9,15,0,0,0,1,Other Routes,Africa
7351,Incident,2020,March,Western / Southern Asia,Asia,1,0,0,0,1,0,0,EU Boarder,Asia
7352,Incident,2020,March,Other / Unknown,Mediterranean,3,0,49,1,0,2,1,Mediterranean Region,Uncategorized
7353,Incident,2020,March,Western / Southern Asia,Mediterranean,1,0,47,0,0,1,1,Mediterranean Region,Uncategorized
7354,Incident,2020,March,Latin America / Caribbean,Central America,1,3,0,0,1,0,1,US-Mexico border crossing,Central America
7355,Incident,2020,March,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7356,Incident,2020,March,Southern Asia,Asia,1,0,0,0,1,0,0,EU Boarder,Asia
7357,Incident,2020,March,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7358,Incident,2020,March,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7362,Incident,2020,March,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7363,Incident,2020,March,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7364,Incident,2020,March,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7365,Incident,2020,March,Latin America / Caribbean,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
7366,Incident,2020,March,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7367,Incident,2020,March,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7368,Incident,2020,March,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7369,Incident,2020,March,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7370,Incident,2020,March,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7371,Incident,2020,March,Western / Southern Asia,Europe,1,0,0,0,1,1,0,EU Boarder,Europe
7372,Incident,2020,March,Central America,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
7373,Incident,2020,March,Northern Africa,Mediterranean,4,16,0,0,0,0,1,Mediterranean Region,Uncategorized
7374,Incident,2020,March,Sub-Saharan Africa,Africa,1,0,0,0,1,0,0,Sahara Desert crossing,Africa
7375,Incident,2020,March,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7377,Incident,2020,March,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7378,Incident,2020,March,Other / Unknown,Mediterranean,3,5,39,2,0,1,1,Mediterranean Region,Uncategorized
7379,Incident,2020,March,Caribbean,Central America,1,0,0,0,1,0,0,US-Mexico border crossing,Central America
7380,Incident,2020,March,South America,Central America,5,0,0,0,5,0,1,US-Mexico border crossing,Central America
7381,Incident,2020,March,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7383,Incident,2020,March,Western Africa,Africa,1,0,0,0,1,0,1,Sahara Desert crossing,Africa
7384,Incident,2020,March,Sub-Saharan Africa,Africa,3,0,0,0,3,0,0,Sahara Desert crossing,Africa
7385,Incident,2020,March,South America,Caribbean,3,13,4,0,0,2,1,Other Routes,Caribbean
7386,Incident,2020,March,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7388,Incident,2020,March,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7389,Incident,2020,March,Central America,North America,1,0,0,0,0,0,1,US-Mexico border crossing,Northern America
7390,Incident,2020,March,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7391,Incident,2020,March,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
7392,Incident,2020,March,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
7393,Incident,2020,March,Other / Unknown,Asia,1,0,0,0,1,0,0,EU Boarder,Asia
7394,Incident,2020,March,Western / Southern Asia,Asia,1,0,0,0,1,0,1,EU Boarder,Asia
7396,Incident,2020,March,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7397,Incident,2020,March,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7399,Incident,2020,March,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7400,Incident,2020,March,Central America,North America,1,0,0,1,0,0,0,US-Mexico border crossing,Northern America
7401,Incident,2020,March,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7402,Incident,2020,March,Latin America / Caribbean,North America,1,0,0,0,0,0,1,US-Mexico border crossing,Northern America
7403,Incident,2020,March,Sub-Saharan Africa,Africa,1,21,6,1,0,0,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
7405,Incident,2020,March,Sub-Saharan Africa,Mediterranean,3,0,13,0,0,0,1,Mediterranean Region,Uncategorized
7406,Incident,2020,April,Central America,North America,1,0,0,1,0,0,0,US-Mexico border crossing,Northern America
7407,Incident,2020,April,Other / Unknown,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
7408,Incident,2020,April,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7409,Incident,2020,April,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7410,Incident,2020,April,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
7411,Split Incident,2020,April,Sub-Saharan Africa,Africa,2,39,21,2,1,0,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
7414,Incident,2020,April,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7416,Incident,2020,April,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
7418,Incident,2020,April,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
7420,Incident,2020,April,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
7421,Incident,2020,April,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
